,id,name,level,family,lon,lat,status
4417,naml1240,Namla,language,Namla-Tofanma,140.66,-3.58,Living
4418,namo1246,Namo,language,Morehead-Wasur,141.824,-9.12416,Severely endangered
4419,namo1247,Namonuito,language,Austronesian,149.666,8.59841,Severely endangered
4420,namo1248,Namosi-Naitasiri-Serua,language,Austronesian,177.637,-18.5308,Living
4421,namu1246,Namuyi,language,Sino-Tibetan,101.898,28.5909,Vulnerable
4422,nana1257,Nanai,language,Tungusic,134.797,48.4343,Critically endangered
4423,nanc1253,Nancere,language,Afro-Asiatic,16.1282,9.31975,Living
4424,nand1264,Nande,language,Atlantic-Congo,29.0243,-0.24904,Living
4425,nand1266,Nandi,language,Nilotic,35.408478,0.793737,Living
4426,nane1238,Nanerige Senoufo,language,Atlantic-Congo,-4.92148,11.7548,Living
4427,nang1259,Nangikurrunggurr,language,Southern Daly,131.237,-14.268,Severely endangered
4428,nang1261,Nanga,language,Dogon,-3.02,14.49,Extinct
4429,nang1262,Nanggu,language,Austronesian,165.887,-10.7441,Living
4430,nank1250,Nankina,language,Nuclear Trans New Guinea,146.464,-5.80804,Living
4431,nant1249,Nanticoke,language,Algic,-74.9865,39.6778,Extinct
4432,nant1250,Nanti,language,Arawakan,-72.3507,-12.1018,Vulnerable
4433,nanu1240,Nanubae,language,Arafundi,143.937,-4.71731,Living
4434,nape1237,Napeca,language,Chapacuran,-63.1,-15.3,Extinct
4435,napo1242,Napo Lowland Quechua,language,Quechuan,-76.3889,-0.072525,Severely endangered
4436,napu1241,Napu,language,Austronesian,120.338,-1.43707,Vulnerable
4437,nara1262,Nara,language,Missing,37.499,15.3251,Living
4438,nara1263,Narango,language,Austronesian,167.047,-15.5259,Living
4439,nara1264,Narak,language,Nuclear Trans New Guinea,144.754,-5.5591,Living
4440,nara1265,Narau,language,Kaure-Narau,139.876,-3.43594,Severely endangered
4441,nari1240,Narim,language,Surmic,33.3312,4.80331,Definitely endangered
4442,naro1249,Naro,language,Khoe-Kwadi,20.7458,-22.0939,Living
4443,naro1251,Narom,language,Austronesian,114.011,4.42115,Living
4444,narp1239,Nar Phu,language,Sino-Tibetan,84.2285,28.7671,Definitely endangered
4445,narr1259,Narrinyeri,language,Pama-Nyungan,140.158,-36.2301,Living
4446,naru1238,Narungga,language,Pama-Nyungan,137.535,-34.69,Extinct
4447,nasa1240,Nasarian,language,Austronesian,167.414,-16.3497,Critically endangered
4448,nask1242,Naskapi,language,Algic,-61.1318,55.9316,Vulnerable
4449,nata1238,Natagaimas,language,Cariban,-75.0333,4.16665,Unknown
4450,nata1252,Natanzi,language,Indo-European,51.9538,33.4593,Severely endangered
4451,nata1254,Nataoran Amis,language,Austronesian,121.59,23.9386,Critically endangered
4452,natc1249,Natchez,language,Missing,-91.33,31.75,Extinct
4453,nate1242,Nateni,language,Atlantic-Congo,1.21879,10.5191,Living
4454,nath1238,Nathembo,language,Atlantic-Congo,39.9062,-16.0973,Living
4455,nati1243,Natioro,language,Atlantic-Congo,-5.19517,10.7176,Living
4456,natu1246,Natugu,language,Austronesian,165.835,-10.6771,Living
4457,naue1237,Nauete,language,Austronesian,126.741,-8.70733,Vulnerable
4458,nauk1242,Naukan Yupik,language,Eskimo-Aleut,-171.755,65.5184,Critically endangered
4459,naun1237,Nauna,language,Austronesian,148.201,-2.21213,Vulnerable
4460,naur1243,Nauru,language,Austronesian,166.922,-0.52957,Severely endangered
4461,nava1243,Navajo,language,Athapaskan-Eyak-Tlingit,-110.082,36.2106,Vulnerable
4462,navu1237,Navut,language,Austronesian,166.798,-15.3169,Living
4463,nawa1258,Nawaru,language,Yareban,148.237,-9.37935,Living
4464,nawa1259,Nawathinehena,language,Algic,-104.45,41.316,Living
4465,nawd1238,Nawdm,language,Atlantic-Congo,0.58553,7.17037,Living
4466,nawu1242,Nawuri,language,Atlantic-Congo,0.04947,8.45116,Living
4467,naxi1245,Naxi,language,Sino-Tibetan,100.182,27.4599,Living
4468,nayi1242,Nayini,language,Indo-European,53.521,34.2212,Severely endangered
4469,nayi1243,Nayi,language,Dizoid,36.3813,6.88202,Vulnerable
4470,ncan1245,Ncane,language,Atlantic-Congo,10.5312,6.50696,Living
4471,nchu1238,Nchumbulu,language,Atlantic-Congo,-1.30881,7.6302,Living
4472,ndai1238,Ndai,language,Atlantic-Congo,14.2888,8.09039,Critically endangered
4473,ndak1241,Ndaka,language,Atlantic-Congo,27.9693,1.53341,Living
4474,ndak1242,Ndaktup,language,Atlantic-Congo,10.9943,6.63304,Living
4475,ndal1241,Ndali,language,Atlantic-Congo,33.6118,-9.88948,Living
4476,ndam1239,Ndamba,language,Atlantic-Congo,36.0271,-8.40485,Living
4477,ndam1251,Ndam,language,Afro-Asiatic,17.326,9.79369,Living
4478,ndan1241,Nda'nda',language,Atlantic-Congo,10.3942,5.14715,Living
4479,ndas1238,Ndasa,language,Atlantic-Congo,13.3695,-2.44901,Living
4480,ndau1241,Ndau,language,Atlantic-Congo,33.1739,-20.1239,Living
4481,ndeg1238,Nde-Gbite,language,Atlantic-Congo,10.47,7.065,Living
4482,ndem1249,Ndemli,language,Atlantic-Congo,10.2197,4.58061,Living
4483,nden1248,Ndengereko,language,Atlantic-Congo,38.958,-7.54628,Living
4484,nden1249,Ndendeule,language,Atlantic-Congo,36.0105,-10.4203,Living
4485,nden1250,Nde-Nsele-Nta,language,Atlantic-Congo,8.49836,6.17426,Living
4486,ndin1245,Nding,language,Narrow Talodi,30.7306,10.2741,Extinct
4487,ndob1238,Ndobo,language,Atlantic-Congo,18.6151,1.32539,Living
4488,ndoe1238,Ndoe,language,Atlantic-Congo,8.69131,6.08134,Living
4489,ndog1248,Ndogo,language,Atlantic-Congo,27.5588,7.73028,Living
4490,ndol1238,Ndolo,language,Atlantic-Congo,19.4087,2.15101,Living
4491,ndom1244,Ndombe,language,Atlantic-Congo,13.371,-12.9655,Living
4492,ndom1245,Ndom,language,Kolopom,138.019,-7.93553,Living
4493,ndon1252,Ndonde Hamba,language,Atlantic-Congo,38.1253,-10.5584,Unknown
4494,ndon1254,Ndonga,language,Atlantic-Congo,19.1631,-17.6417,Living
4495,ndoo1241,Ndoola,language,Atlantic-Congo,11.3096,7.2884,Living
4496,ndoo1242,Ndo,language,Central Sudanic,30.5652,2.68546,Living
4497,ndug1245,Nduga,language,Nuclear Trans New Guinea,138.411,-4.34043,Living
4498,ndum1239,Ndumu,language,Atlantic-Congo,13.7279,-1.67033,Living
4499,ndun1249,Ndunga,language,Atlantic-Congo,21.5755,2.3886,Living
4500,ndun1251,Ndunda,language,Atlantic-Congo,11.1105,6.73205,Severely endangered
4501,ndut1239,Ndut,language,Atlantic-Congo,-16.9811,14.925,Living
4502,ndyu1241,Ndyuka-Trio Pidgin,language,Pidgin,-56.0182,2.94789,Living
4503,ndyu1242,Ndyuka,language,Indo-European,-54.6419,4.3126,Living
4504,ndzw1235,Ndzwani Comorian,language,Atlantic-Congo,44.3709,-12.2123,Living
4505,neap1235,Neapolitan,language,Indo-European,16.4225,39.2288,Vulnerable
4506,nede1245,Nedebang,language,Timor-Alor-Pantar,124.192,-8.28776,Living
4507,nefa1235,Nefamese,language,Pidgin,96.349,27.688,Extinct
4508,nege1240,Negeri Sembilan Malay,language,Austronesian,102.291,2.66503,Living
4509,nege1244,Negerhollands,language,Indo-European,-64.8922,18.3416,Extinct
4510,negi1245,Negidal,language,Tungusic,139.206,52.9658,Critically endangered
4511,neha1247,Nehan,language,Austronesian,154.2,-4.56875,Living
4512,nekg1240,Nekgini,language,Nuclear Trans New Guinea,146.253,-5.64364,Living
4513,nekk1240,Nek,language,Nuclear Trans New Guinea,146.841,-6.37697,Living
4514,neko1240,Neko,language,Nuclear Trans New Guinea,146.306,-5.60034,Living
4515,neku1237,Neku,language,Austronesian,165.578,-21.6524,Severely endangered
4516,neme1244,Neme,language,Morehead-Wasur,141.849,-8.44877,Living
4517,nemi1240,Nemi,language,Austronesian,164.797,-20.6791,Definitely endangered
4518,nend1239,Nend,language,Nuclear Trans New Guinea,144.886,-5.04271,Living
