Scotland's Census 2011 - National Records of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table QS607SC - National Statistics Socio-economic Classification (NS-SeC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All people aged 16 to 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people aged 16 to 74,1. Higher managerial and professional occupations,1.1 Large employers and higher managerial occupations,L1 Employers in large organisations,L2 Higher managerial,1.2 Higher professional occupations,L3.1 (Traditional) - Employees,L3.2 (New) - Employees,L3.3 (Traditional) - Self-employed,L3.4 (New) - Self-employed,2 Lower managerial and professional occupations,L4 Lower professional and higher technical occupations,L4.1 (Traditional) - Employees,L4.2 (New) - Employees,L4.3 (Traditional) - Self-employed,L4.4 (New) - Self-employed,L5 Lower managerial,L6 Higher supervisory,3 Intermediate occupations,L7.1 Intermediate clerical and administrative,L7.2 Intermediate sales and service,L7.3 Intermediate technical and auxiliary,L7.4 Intermediate engineering,4 Small employers and own account workers,L8 Employers in small organisations,L8.1 Employers in small organisations (non-professional),L8.2 Employers in small organisations (agriculture),L9 Own account workers,L9.1 Own account workers (non-professional),L9.2 Own account workers (agriculture),5 Lower supervisory and technical occupations,L10 Lower supervisory,L11.1 Lower technical craft,L11.2 Lower technical process operative,6 Semi-routine occupations,L12.1 Semi-routine sales,L12.2 Semi-routine service,L12.3 Semi-routine technical,L12.4 Semi-routine operative,L12.5 Semi-routine agriculture,L12.6 Semi-routine clerical,L12.7 Semi-routine childcare,7 Routine occupations,L13.1 Routine sales and service,L13.2 Routine production,L13.3 Routine technical,L13.4 Routine operative,L13.5 Routine agricultural,8 Never worked and long-term unemployed,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students
Perth & Kinross,"107,546","10,767","2,237",37,"2,200","8,530","4,356","2,565","1,387",222,"24,748","16,164","13,159","1,241","1,482",282,"5,405","3,179","13,288","7,751","3,968","1,110",459,"11,239","3,717","3,273",444,"7,522","6,548",974,"9,282","5,529","3,448",305,"15,953","5,181","5,999",840,"1,274",886,"1,317",456,"12,371","1,822","1,038","4,159","5,141",211,"3,366","2,201","1,165","6,532"
Renfrewshire,"130,873","10,228","2,290",16,"2,274","7,938","4,299","2,783",722,134,"27,369","17,893","15,189","1,631",868,205,"5,470","4,006","20,055","11,771","5,624","2,035",625,"7,270","2,144","2,085",59,"5,126","4,993",133,"11,141","5,371","4,832",938,"20,459","6,334","8,478","1,555","2,083",48,"1,641",320,"16,818","2,143","1,786","5,473","7,313",103,"6,916","4,221","2,695","10,617"
Scottish Borders,"83,661","7,063","1,773",21,"1,752","5,290","2,843","1,376",934,137,"17,625","11,458","9,278",780,"1,218",182,"3,718","2,449","9,282","5,567","2,335","1,037",343,"10,319","3,263","2,540",723,"7,056","5,755","1,301","6,632","3,878","2,383",371,"13,787","3,822","5,312",743,"1,536",976,904,494,"11,311","1,175","2,066","3,762","4,056",252,"3,013","1,761","1,252","4,629"
Shetland Islands,"17,062","1,026",250,-,250,776,505,148,109,14,"3,642","2,506","2,244",103,142,17,665,471,"1,747","1,133",364,176,74,"1,638",533,404,129,"1,105",748,357,"1,962","1,221",678,63,"3,364",717,"1,694",90,489,32,199,143,"2,622",195,130,"1,197",992,108,320,200,120,741
South Ayrshire,"83,196","6,573","1,467",18,"1,449","5,106","2,681","1,480",813,132,"18,504","12,314","10,504",812,836,162,"3,670","2,520","10,362","6,268","2,653","1,055",386,"7,038","2,443","2,137",306,"4,595","4,033",562,"7,706","4,086","3,220",400,"13,428","4,478","5,619",734,"1,065",307,965,260,"9,892","1,700",756,"3,234","4,097",105,"4,021","2,420","1,601","5,672"
South Lanarkshire,"234,622","19,072","3,972",24,"3,948","15,100","7,718","5,488","1,578",316,"49,247","31,918","26,599","3,222","1,653",444,"10,123","7,206","34,596","21,438","9,068","2,594","1,496","17,161","5,193","4,893",300,"11,968","11,168",800,"19,300","9,650","8,556","1,094","36,768","11,295","14,168","2,630","4,449",360,"2,930",936,"31,150","3,618","3,550","11,123","12,508",351,"11,591","6,884","4,707","15,737"
Stirling,"67,240","7,683","1,521",27,"1,494","6,162","3,501","1,599",899,163,"14,721","9,656","7,778",785,882,211,"3,261","1,804","7,193","4,337","1,896",705,255,"5,713","1,825","1,686",139,"3,888","3,457",431,"4,748","2,770","1,779",199,"8,602","2,622","3,421",528,768,163,675,425,"7,061","1,180",450,"2,220","3,121",90,"2,739","1,737","1,002","8,780"
West Dunbartonshire,"67,866","3,354",789,1,788,"2,565","1,441",892,195,37,"12,153","7,722","6,814",529,323,56,"2,324","2,107","10,526","6,292","2,766","1,073",395,"3,684",893,869,24,"2,791","2,724",67,"6,250","3,159","2,772",319,"12,663","3,562","5,551",867,"1,363",28,856,436,"9,951","1,345",940,"3,206","4,374",86,"4,484","2,658","1,826","4,801"
West Lothian,"130,151","10,687","2,280",7,"2,273","8,407","3,972","3,587",647,201,"25,210","15,658","12,697","1,831",897,233,"5,792","3,760","19,738","11,412","6,211","1,313",802,"8,030","2,181","2,085",96,"5,849","5,621",228,"11,130","5,986","4,314",830,"21,332","6,526","7,429","1,544","3,380",166,"1,668",619,"20,180","1,697","2,276","6,601","9,453",153,"5,796","3,479","2,317","8,048"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown copyright 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For further information on variables, see www.scotlandscensus.gov.uk/variables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas. Some cell values will be affected, particularly small values at the most detailed geographies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
